run_id,cell_id,split,classes,cap,cap_value,seed,model,n_train,n_test,n_classes,own_macro_f1,own_bacc,own_acc,own_defect_f1,own_defect_bacc,gold_defect_f1,gold_defect_bacc,gold_full_macro_f1,gold_full_bacc,gold_none_f1,dup_rate,dup_rate64,dup_rate_defect,lot_share_rate,nn_hamming_mean,nn_hamming_median,nn_hamming_p10,nn_hamming_p25,nn_hamming_p75,nn_hamming_p90,final_loss,train_seconds,n_params
A2-B1-C2-s1,A2-B1-C2,A2,B1,C2,5000,1,smallcnn,18138,4535,9,0.830189328870516,0.821315255632952,0.8635060639470783,0.8296989914851443,0.807104662587071,0.8319871037263195,0.8114144779582229,0.7365768896583401,0.8232010899296666,0.9527797325826882,0.003969128996692392,0.004189636163175303,0.005091937765205092,0.8156560088202867,413.79206174200664,371.0,87.0,214.0,579.0,767.0,0.0011210482976603089,106.67602920532227,242345
A2-B1-C2-s2,A2-B1-C2,A2,B1,C2,5000,2,smallcnn,18138,4535,9,0.8247794959375049,0.8232689092340363,0.8588754134509372,0.8249222670148093,0.8111775228882908,0.8305539430741682,0.8087603802463671,0.7411870566321409,0.8209360124453188,0.9532904224262249,0.002866593164277839,0.002866593164277839,0.0036775106082036777,0.8154355016538037,423.4555678059537,388.0,98.40000000000003,226.0,576.0,777.5999999999999,0.001274212436110247,107.27767992019653,242345
A2-B1-C3-s0,A2-B1-C3,A2,B1,C3,119,0,smallcnn,856,215,9,0.6933197383848758,0.7035024154589372,0.7023255813953488,0.7133210830113673,0.7028985507246377,0.6067194390613344,0.6918419306094611,0.47680511834237854,0.6888062405065045,0.790503637719422,0.009302325581395349,0.009302325581395349,0.010471204188481676,0.19534883720930232,609.8325581395349,546.0,231.8,377.0,813.0,1172.6,0.00016404228810279164,107.39311003684998,242345
A2-B1-C3-s1,A2-B1-C3,A2,B1,C3,119,1,smallcnn,856,215,9,0.6516606274143297,0.6684782608695652,0.6697674418604651,0.6829225820763087,0.6739130434782609,0.5952604180327454,0.6947001404526256,0.47047209569968207,0.6926833823190033,0.7995595154670138,0.0,0.0,0.0,0.22325581395348837,589.8046511627907,537.0,227.4,361.5,758.0,973.4,7.211205723433522e-05,108.79086875915527,242345
A2-B1-C3-s2,A2-B1-C3,A2,B1,C3,119,2,smallcnn,856,215,9,0.6646139533935541,0.6743156199677939,0.6744186046511628,0.6904117783070294,0.6770833333333333,0.5981675150196157,0.6850471394250948,0.4834573331826248,0.6851232029833277,0.8042761196995589,0.009302325581395349,0.009302325581395349,0.010416666666666666,0.18604651162790697,576.2558139534884,536.0,175.4,314.0,805.0,1082.3999999999999,0.00017951005160284694,110.48114371299744,242345
A2-B2-C1-s0,A2-B2-C1,A2,B2,C1,nan,0,smallcnn,16333,4084,8,0.8538272009340355,0.8503798721279284,0.8792850146914789,0.8538272009340355,0.8503798721279284,0.8286718951715575,0.826866921509207,nan,nan,nan,0.00514201762977473,0.00514201762977473,0.00514201762977473,0.7930950048971597,397.33178256611166,348.0,58.30000000000001,196.0,556.0,790.7000000000003,0.00046798749579465945,113.27947616577148,242216
A2-B2-C1-s1,A2-B2-C1,A2,B2,C1,nan,1,smallcnn,16333,4084,8,0.8365520343073152,0.821038749812264,0.8721841332027425,0.8365520343073152,0.821038749812264,0.8338055876916468,0.827627733021968,nan,nan,nan,0.0053868756121449556,0.005631733594515181,0.0053868756121449556,0.7948090107737512,405.98653281096966,352.0,68.0,202.0,574.0,793.0,0.00047540790207131067,117.85568690299988,242216
A2-B2-C1-s2,A2-B2-C1,A2,B2,C1,nan,2,smallcnn,16333,4084,8,0.8451014518722444,0.8411997433242756,0.8829578844270323,0.8451014518722444,0.8411997433242756,0.823713179530955,0.819737359027108,nan,nan,nan,0.005876591576885406,0.0061214495592556315,0.005876591576885406,0.7982370225269344,400.1055337904016,347.5,58.0,201.0,560.25,786.0,0.00038433111800259214,118.64633274078369,242216
A2-B2-C2-s0,A2-B2-C2,A2,B2,C2,5000,0,smallcnn,14138,3535,8,0.8308919994975406,0.8264059880536332,0.8540311173974541,0.8308919994975406,0.8264059880536332,0.8325546749655894,0.8321919471515888,nan,nan,nan,0.005657708628005658,0.005940594059405941,0.005657708628005658,0.7592644978783593,422.14257425742574,380.0,50.0,202.5,600.0,824.5999999999999,0.0005694508628366748,118.3360288143158,242216
A2-B2-C2-s1,A2-B2-C2,A2,B2,C2,5000,1,smallcnn,14138,3535,8,0.824499709521429,0.8205233527661767,0.8545968882602546,0.824499709521429,0.8205233527661767,0.8234237038441774,0.8163749948814916,nan,nan,nan,0.004526166902404526,0.004526166902404526,0.004526166902404526,0.766053748231966,414.13041018387554,371.0,48.0,203.5,588.0,804.5999999999999,0.00048786974605172874,118.85629725456238,242216
A2-B2-C2-s2,A2-B2-C2,A2,B2,C2,5000,2,smallcnn,14138,3535,8,0.8250233072374229,0.8229627352539942,0.8596888260254597,0.8250233072374229,0.8229627352539942,0.8139014115895622,0.8107555410205056,nan,nan,nan,0.004526166902404526,0.004526166902404526,0.004526166902404526,0.7728429985855728,426.2246110325318,376.0,52.400000000000034,203.0,609.0,829.0,0.0004198677669155586,115.05604958534241,242216
A2-B2-C3-s0,A2-B2-C3,A2,B2,C3,119,0,smallcnn,761,191,8,0.7114172843943622,0.7221467391304347,0.7225130890052356,0.7114172843943622,0.7221467391304347,0.6155184766609174,0.7251565525683594,nan,nan,nan,0.0,0.0,0.0,0.24083769633507854,616.1937172774869,566.0,236.0,404.5,794.0,1099.0,0.00010605686488997889,100.69461226463318,242216
A2-B2-C3-s1,A2-B2-C3,A2,B2,C3,119,1,smallcnn,761,191,8,0.732021787636242,0.7389039855072463,0.7382198952879581,0.732021787636242,0.7389039855072463,0.6007969629925092,0.71637500836835,nan,nan,nan,0.0,0.0,0.0,0.21465968586387435,617.9633507853404,581.0,230.0,358.5,811.0,1130.0,2.4794003016722855e-05,93.90536260604858,242216
A2-B2-C3-s2,A2-B2-C3,A2,B2,C3,119,2,smallcnn,761,191,8,0.7138147717987944,0.7210144927536232,0.7225130890052356,0.7138147717987944,0.7210144927536232,0.6150792963588622,0.7299681411368661,nan,nan,nan,0.010471204188481676,0.010471204188481676,0.010471204188481676,0.18848167539267016,612.6492146596859,558.0,222.0,370.5,811.0,1141.0,2.574794743759412e-05,99.92846846580505,242216
A3-B1-C1-s1,A3-B1-C1,A3,B1,C1,nan,1,smallcnn,110674,27661,9,0.8422269992768167,0.81195272502205,0.9692708145041755,0.8360035810542965,0.7891466502343589,0.8242956414209962,0.7764294343889752,0.833796575526581,0.8007774170214053,0.987265212862471,0.023607244857380427,0.023679548823252957,0.00465230166503428,0.0,380.7822927587578,364.0,145.0,235.0,513.0,645.0,0.022030267674010246,103.48206233978271,242345
A3-B1-C1-s2,A3-B1-C1,A3,B1,C1,nan,2,smallcnn,110655,27680,9,0.8329724855056139,0.817207119667402,0.9689306358381503,0.828294260316913,0.7951314130245644,0.8388438533331486,0.7937329411034185,0.8447441300335495,0.8160453673005927,0.9871693544318698,0.02333815028901734,0.0233742774566474,0.005143277002204262,0.0,381.99830202312137,359.0,152.0,240.0,514.0,647.0,0.01985466468334198,102.35120725631714,242345
A3-B1-C2-s0,A3-B1-C2,A3,B1,C2,5000,0,smallcnn,18138,4535,9,0.8277462172169889,0.8134451724691303,0.8524807056229328,0.829268194241223,0.7997508190277716,0.8313301746563415,0.8062521781780126,0.7430926380568287,0.8190679221455761,0.9546691002263913,0.005071664829106946,0.005071664829106946,0.005940594059405941,0.0,408.1058434399118,371.0,74.40000000000003,207.0,569.5,773.5999999999999,0.0009136609499109909,101.8901903629303,242345
A3-B1-C2-s1,A3-B1-C2,A3,B1,C2,5000,1,smallcnn,18138,4535,9,0.8323954437189076,0.8272033677613879,0.8584343991179714,0.8356268745469193,0.8154787887315613,0.8301246012482942,0.8161356648060137,0.7337483718153247,0.8272132243168135,0.9522618376550169,0.003969128996692392,0.004189636163175303,0.004243281471004243,0.0,424.7715545755237,388.0,81.0,227.0,589.0,788.0,0.0009751989890210098,104.99112033843994,242345
A3-B1-C2-s2,A3-B1-C2,A3,B1,C2,5000,2,smallcnn,18137,4536,9,0.8439120174007828,0.8359713888021468,0.8635361552028219,0.8443402267979612,0.8232178124024152,0.82456234912666,0.8033637598664538,0.7375864522240936,0.8167376228159688,0.9564439454803796,0.005070546737213404,0.005070546737213404,0.006221719457013574,0.0,410.7092151675485,371.0,76.0,214.0,567.0,775.5,0.0013432557936175727,105.35431408882141,242345
